"CD_GEOCMU";"OBJECTID";"NM_MUNICIP";"Municipio";"Area_km2";"Estado";"Area";"reg_saude"
"4206801";107;"IBICARÉ";"Ibicaré";"155.6";"SC";155600540498;"Meio Oeste"
"4206900";108;"IBIRAMA";"Ibirama";"246.21";"SC";246209508103;"Alto Vale do Itajaí"
"4207007";109;"IÇARA";"Içara";"228.93";"SC";228932022365;"Carbonífera"
"4207106";110;"ILHOTA";"Ilhota";"253.44";"SC";253442673208;"Foz do Rio Itajaí"
"4207205";111;"IMARUÍ";"Imaruí";"542.71";"SC";542712126229;"Laguna"
"4207304";112;"IMBITUBA";"Imbituba";"181.44";"SC";181443214183;"Laguna"
"4207403";113;"IMBUIA";"Imbuia";"122.67";"SC";122669397672;"Alto Vale do Itajaí"
"4207502";114;"INDAIAL";"Indaial";"432.46";"SC";"432459029.05";"Médio Vale do Itajaí"
"4207577";115;"IOMERÊ";"Iomerê";"115.23";"SC";"115226328.71";"Alto Vale do Rio do Peixe"
"4207601";116;"IPIRA";"Ipira";"155.12";"SC";155116995277;"Alto Uruguai Catarinense"
"4207650";117;"IPORÃ DO OESTE";"Iporã do Oeste";"201.8";"SC";201801278331;"Extremo Oeste"
"4207684";118;"IPUAÇU";"Ipuaçu";"261.66";"SC";261656345604;"Xanxerê"
"4207700";119;"IPUMIRIM";"Ipumirim";"246.99";"SC";246990253066;"Alto Uruguai Catarinense"
"4207759";120;"IRACEMINHA";"Iraceminha";"165.09";"SC";165092501289;"Extremo Oeste"
"4207809";121;"IRANI";"Irani";"329.31";"SC";329311674053;"Alto Uruguai Catarinense"
"4207858";122;"IRATI";"Irati";"77.5";"SC";77498400058;"Oeste"
"4207908";123;"IRINEÓPOLIS";"Irineópolis";"589.45";"SC";589452986849;"Planalto Norte"
"4208005";124;"ITÁ";"Itá ";"165.86";"SC";165856001945;"Alto Uruguai Catarinense"
"4208104";125;"ITAIÓPOLIS";"Itaiópolis";"1293.31";"SC";"1293307074.11";"Planalto Norte"
"4208203";126;"ITAJAÍ";"Itajaí";"288.64";"SC";288644592206;"Foz do Rio Itajaí"
"4208302";127;"ITAPEMA";"Itapema";"58.87";"SC";58868386567;"Foz do Rio Itajaí"
"4208401";128;"ITAPIRANGA";"Itapiranga";"279.95";"SC";"279945169.44";"Extremo Oeste"
"4208450";129;"ITAPOÁ";"Itapoá ";"239.7";"SC";239695577833;"Nordeste"
"4208500";130;"ITUPORANGA";"Ituporanga";"336.89";"SC";336886786804;"Alto Vale do Itajaí"
"4208609";131;"JABORÁ";"Jaborá ";"180.8";"SC";180796088346;"Meio Oeste"
"4208708";132;"JACINTO MACHADO";"Jacinto Machado";"438.28";"SC";438277479693;"Extremo Sul Catarinense"
"4208807";133;"JAGUARUNA";"Jaguaruna";"327.05";"SC";327048632453;"Laguna"
"4208906";134;"JARAGUÁ DO SUL";"Jaraguá do Sul";"530.04";"SC";530035260758;"Vale do Itapocu"
"4208955";135;"JARDINÓPOLIS";"Jardinópolis";"68.26";"SC";68256790061;"Oeste"
"4209003";136;"JOAÇABA";"Joaçaba";"242.75";"SC";242752036585;"Meio Oeste"
"4209102";137;"JOINVILLE";"Joinville";"1099.87";"SC";"1099874890.03";"Nordeste"
"4209151";138;"JOSÉ BOITEUX";"José Boiteux";"405.25";"SC";405246728053;"Alto Vale do Itajaí"
"4209177";139;"JUPIÁ";"Jupiá ";"92.6";"SC";92600983943;"Xanxerê"
"4209201";140;"LACERDÓPOLIS";"Lacerdópolis";"68.7";"SC";68704391471;"Meio Oeste"
"4209300";141;"LAGES";"Lages";"2630.58";"SC";"2630581727.47";"Serra Catarinense"
"4209409";142;"LAGUNA";"Laguna";"330.55";"SC";330548132238;"Laguna"
"4209458";143;"LAJEADO GRANDE";"Lageado Grande";"65.59";"SC";65588754694;"Xanxerê"
"4209508";144;"LAURENTINO";"Laurentino";"79.55";"SC";79549065081;"Alto Vale do Itajaí"
"4209607";145;"LAURO MULLER";"Lauro Müller";"269.86";"SC";269862153058;"Carbonífera"
"4209706";146;"LEBON RÉGIS";"Lebon Régis";"935.42";"SC";935418131639;"Alto Vale do Rio do Peixe"
"4209805";147;"LEOBERTO LEAL";"Leoberto Leal";"292.26";"SC";292259272777;"Grande Florianópolis"
"4209854";148;"LINDÓIA DO SUL";"Lindóia do Sul";"188.81";"SC";188809303754;"Alto Uruguai Catarinense"
"4209904";149;"LONTRAS";"Lontras";"197.55";"SC";197549703116;"Alto Vale do Itajaí"
"4210001";150;"LUIZ ALVES";"Luiz Alves";"260.84";"SC";260843781578;"Foz do Rio Itajaí"
"4210035";151;"LUZERNA";"Luzerna";"116.47";"SC";116466794118;"Meio Oeste"
"4210050";152;"MACIEIRA";"Macieira";"258.96";"SC";258957051185;"Alto Vale do Rio do Peixe"
